Longitude	Latitude	Elevation, m	Distance (km)
-157.70712	21.429306	-152.80103	9.223748
-157.70648	21.429296	-166.22668	9.289633
-157.70586	21.429287	-175.92351	9.355517
-157.70522	21.42928	-181.69342	9.421402
-157.70457	21.42927	-183.87523	9.487287
-157.70393	21.42926	-187.59929	9.553171
-157.70331	21.429253	-192.48093	9.619055
-157.70267	21.429243	-194.74687	9.684938
-157.70203	21.429234	-201.11717	9.750822
-157.7014	21.429226	-217.08736	9.816707
-157.70076	21.429216	-239.7708	9.882591
-157.70012	21.429207	-265.2531	9.948476
-157.69948	21.4292	-282.3614	10.014359
-157.69885	21.42919	-289.60678	10.080244
-157.69821	21.42918	-284.9607	10.146129
-157.69757	21.429173	-274.58936	10.212013
-157.69695	21.429163	-262.62762	10.277898
-157.6963	21.429153	-255.15965	10.343782
-157.69566	21.429146	-252.81583	10.409667
-157.69502	21.429136	-250.73361	10.475552
-157.6944	21.429127	-252.55664	10.541436
-157.69376	21.42912	-263.3033	10.607321
-157.69312	21.42911	-272.38138	10.673205
-157.69249	21.4291	-274.89816	10.73909
-157.69185	21.429092	-269.28934	10.804975
-157.69121	21.429083	-260.71957	10.870859
-157.69058	21.429073	-259.7338	10.936744
-157.68994	21.429064	-262.0531	11.002628
-157.6893	21.429056	-265.44904	11.068513
-157.68866	21.429047	-269.70316	11.1343975
-157.68803	21.429037	-273.35916	11.200282
-157.6874	21.42903	-272.17786	11.266167
-157.68675	21.42902	-268.4579	11.332051
-157.68613	21.42901	-264.92123	11.397936
-157.68549	21.429003	-263.25604	11.46382
-157.68484	21.428993	-264.88055	11.529705
-157.6842	21.428984	-267.5865	11.59559
-157.68358	21.428976	-271.0285	11.661474
-157.68294	21.428967	-275.3637	11.727359
-157.6823	21.428957	-280.2559	11.793243
-157.68167	21.42895	-285.34406	11.859128
-157.68103	21.42894	-290.72165	11.925013
-157.68039	21.42893	-296.3012	11.990897
-157.67975	21.428923	-301.42047	12.056782
-157.67912	21.428913	-306.54907	12.122666
-157.67848	21.428904	-312.75705	12.188551
-157.67784	21.428896	-319.3225	12.254436
-157.67722	21.428886	-325.80255	12.32032
