"tag_id","tagging_date","fork_length_cm","status","days_at_liberty","n_detections","mean_detections_per_day","unique_days","distance_tracked","mean_distance_per_day","n_stations","movements_detected","meacount_movements_per_day","total_brfa_crossings","in_to_out","out_to_in","days_tracked_in","days_tracked_out","mean_brfa_movements_per_day","max_polygon_area","max_linear_distance","z_constrained_path_distance","data_density"
"2128",2018-01-09 12:57:00,40,"Dead",72,151,2.09722222222222,10,78.48,1.09,5,43,0.597222222222222,0,0,0,71.34,0,0,2.59553004528165,4.83589640157223,6.484,0.138888888888889
"2129",2018-01-09 13:00:00,46,"Excluded From Analysis",8,152,19,8,58.39,7.29875,3,48,6,0,0,0,7,0,0,0.655069915225744,2.40642000016202,5.766,1
"2130",2018-01-09 13:08:00,42.5,"Dead",38,15,0.394736842105263,8,1.04,0.0273684210526316,1,1,0.0263157894736842,0,0,0,36.74,0,0,NA,1.03973815994635,2.354,0.210526315789474
"2131",2018-01-09 13:11:00,46,"Dead",25,297,11.88,6,87.49,3.4996,9,66,2.64,6,3,3,23.88,0.18,0.24,4.25523956022024,4.04366537610113,8.531,0.24
"2132",2018-01-09 13:14:00,44,"Excluded From Analysis",6,1,0.166666666666667,1,1.04,0.173333333333333,1,1,0.166666666666667,0,0,0,4.79,0,0,NA,1.03973815994635,2.354,0.166666666666667
"2133",2018-01-09 13:18:00,43,"Alive",28,451,16.1071428571429,23,117.5,4.19642857142857,7,93,3.32142857142857,6,3,3,27.05,0.18,0.214285714285714,0.512151307556152,4.21048196371048,7.19,0.821428571428571
"2135",2018-01-09 13:22:00,45,"Excluded From Analysis",8,179,22.375,8,61.5,7.6875,10,39,4.875,2,1,1,6.52,0.18,0.25,6.9669695612402,5.74054787183705,6.132,1
"2136",2018-01-09 13:25:00,42,"Alive",90,4737,52.6333333333333,86,770.72,8.56355555555556,8,712,7.91111111111111,0,0,0,89.23,0,0,8.20570260118008,4.83589640157223,6.018,0.955555555555556
"2137",2018-01-09 13:32:00,45,"Excluded From Analysis",8,264,33,8,108.09,13.51125,8,65,8.125,2,1,1,6.49,0.06,0.25,0.0300802553992271,5.37906824001177,6.018,1
"2138",2018-01-09 13:43:00,60,"Dead",96,446,4.64583333333333,68,0.89,0.00927083333333333,1,1,0.0104166666666667,0,0,0,94.64,0,0,NA,0.894890277217981,2.354,0.708333333333333
"2139",2018-01-09 13:59:00,50,"Alive",96,317,3.30208333333333,69,48.76,0.507916666666667,3,28,0.291666666666667,0,0,0,95.06,0,0,0.443719149548531,2.40642000016202,5.766,0.71875
"2140",2018-01-09 14:31:00,39.5,"Alive",48,67,1.39583333333333,12,5.06,0.105416666666667,2,3,0.0625,0,0,0,46.99,0,0,0,1.99045049702883,5.119,0.25
"2141",2018-01-09 15:04:00,49,"Excluded From Analysis",6,229,38.1666666666667,6,30.44,5.07333333333333,5,13,2.16666666666667,0,0,0,4.66,0,0,0,6.22068858721607,6.131,1
"2142",2018-01-09 15:10:00,47,"Dead",49,358,7.30612244897959,34,58.42,1.19224489795918,7,28,0.571428571428571,0,0,0,47.89,0,0,3.07133853916931,6.92690173330556,8.527,0.693877551020408
"2144",2018-01-09 15:24:00,46,"Dead",90,20801,231.122222222222,90,9652.03,107.244777777778,8,9198,102.2,0,0,0,88.84,0,0,5.78403070709705,4.32867608641245,4.707,1
"2145",2018-01-09 15:35:00,49,"Dead",89,5327,59.8539325842697,77,199,2.23595505617978,11,96,1.07865168539326,0,0,0,88.02,0,0,23.9237822672274,6.92690173330556,8.527,0.865168539325843
"2146",2018-01-09 16:02:00,40.5,"Dead",90,253,2.81111111111111,27,27.53,0.305888888888889,5,17,0.188888888888889,2,1,1,88.08,0.57,0.0222222222222222,0.67755315769577,4.70329455335402,8.12,0.3
"2147",2018-01-09 16:06:00,43,"Dead",87,125,1.4367816091954,46,0.36,0.00413793103448276,1,1,0.0114942528735632,0,0,0,86.08,0,0,NA,0.364987381077578,0,0.528735632183908
