"","ReceiverNumber","deltaDistEuclid","receiverDepth","receiverLon","receiverLat"
"1",1,0,-77,-157.6,21.292
"2",2,977,-85,-157.59,21.292
"3",3,977,-92,-157.581,21.292
"4",4,977,-99,-157.571,21.292
"5",5,977,-120,-157.562,21.292
"6",6,977,-220,-157.552,21.292
"7",7,977,-336,-157.543,21.292
"8",8,977,-413,-157.534,21.292
