"","ReceiverNumber","deltaDistEuclid","receiverDepth","receiverLon","receiverLat"
"1",1,0,-153,-157.707,21.429
"2",2,849,-287,-157.699,21.429
"3",3,849,-260,-157.691,21.429
"4",4,849,-277,-157.683,21.429
"5",5,849,-346,-157.675,21.429
"6",6,849,-416,-157.666,21.429
