dates,species,caught,sold,value,price_per_pound,inflated_ppp,inflated_dollar,inflated_value,month
7.1368e+05,0,4390.7,4378.4,2154.6,0.49143,4.3485,0.55925,19065,1
7.1372e+05,0,4970.9,4969.7,2147,0.44143,3.9061,0.55925,18998,2
7.1374e+05,0,4841.6,4829.4,2380.7,0.47429,4.1968,0.55925,21066,3
7.1378e+05,0,4931.3,4921.7,2192.9,0.42286,3.7418,0.55925,19404,4
7.1380e+05,0,4433,4430,1960,0.45286,4.0072,0.55925,17344,5
7.1384e+05,0,3787.9,3787,1571.1,0.45714,4.0451,0.55925,13903,6
7.1387e+05,0,4490.6,4481.3,1903.6,0.45429,4.0199,0.55925,16844,7
7.139e+05,0,3734,3726.3,1714.3,0.50286,4.4497,0.55925,15169,8
7.1393e+05,0,3748.1,3722.7,1579,0.43571,3.8555,0.55925,13972,9
7.1396e+05,0,3787.1,3788.6,1940,0.44714,3.9566,0.55925,17167,10
7.1399e+05,0,5588.9,5582.9,2413.4,0.37429,3.312,0.55925,21356,11
7.1402e+05,0,3718.3,3698.3,2211.9,0.52857,4.6772,0.55925,19572,12
7.1405e+05,0,4148,4146.9,2113.4,0.46571,4.1364,0.57517,18771,1
7.1408e+05,0,4716.1,4714.4,2577.6,0.55143,4.8977,0.57517,22893,2
7.1411e+05,0,4994.4,4994.3,2606.1,0.50286,4.4663,0.57517,23147,3
7.1414e+05,0,5207.4,5206,2631.6,0.49857,4.4282,0.57517,23373,4
7.1417e+05,0,6768.3,6760.7,2417.7,0.42286,3.7557,0.57517,21474,5
7.142e+05,0,5676.6,5669,2266.6,0.40571,3.6035,0.57517,20131,6
7.1423e+05,0,3560.7,3559.6,1702.6,0.48857,4.3394,0.57517,15122,7
7.1426e+05,0,6213.4,6212,2804.1,0.48286,4.2886,0.57517,24906,8
7.1429e+05,0,4044.1,4035.4,2037.6,0.45857,4.0729,0.57517,18097,9
7.1432e+05,0,4648.6,4622.4,2138.4,0.46714,4.149,0.57517,18993,10
7.1435e+05,0,5048.9,5040.3,2199,0.42286,3.7557,0.57517,19531,11
7.1438e+05,0,8368.4,8352.1,3632.3,0.42,3.7303,0.57517,32261,12
7.1442e+05,0,3800.6,3797.3,1828.4,0.46857,4.1005,0.59373,16001,1
7.1445e+05,0,4735,4733,2283.3,0.46714,4.088,0.59373,19981,2
7.1448e+05,0,3603.3,3602.1,2073.4,0.52714,4.6131,0.59373,18145,3
7.1451e+05,0,7660.9,7650.7,4274.6,0.52714,4.6131,0.59373,37407,4
7.1454e+05,0,5193.1,5185.4,2513.7,0.47,4.113,0.59373,21998,5
7.1457e+05,0,4393.9,4384.1,2157.6,0.53,4.6381,0.59373,18881,6
7.146e+05,0,4074.6,4069.6,1946.7,0.51143,4.4756,0.59373,17036,7
7.1463e+05,0,5589.1,5575.6,3021.6,0.50857,4.4506,0.59373,26442,8
7.1466e+05,0,5572.6,5566,2559.1,0.40429,3.538,0.59373,22395,9
7.1469e+05,0,5048.7,5041.9,2328.6,0.44714,3.913,0.59373,20378,10
7.1472e+05,0,5691.1,5690.6,2472,0.39429,3.4504,0.59373,21633,11
7.1475e+05,0,6957.9,6914.4,3454.9,0.49571,4.3381,0.59373,30234,12
7.1478e+05,0,3761.4,3757.4,2031.4,0.52143,4.4169,0.61384,17208,1
7.1481e+05,0,3994.4,3986.1,2234.9,0.56143,4.7558,0.61384,18931,2
7.1484e+05,0,6434.4,6429.7,3554.6,0.54714,4.6348,0.61384,30110,3
7.1487e+05,0,4210.6,4206.3,2125.7,0.54286,4.5985,0.61384,18007,4
7.149e+05,0,6983.3,6975.6,2903.6,0.44286,3.7514,0.61384,24596,5
7.1493e+05,0,6759.9,6755.6,2558.9,0.46286,3.9208,0.61384,21676,6
7.1496e+05,0,4715.7,4711,2225.6,0.51,4.3201,0.61384,18852,7
7.1499e+05,0,3472.1,3462.6,2031.1,0.59143,5.0099,0.61384,17206,8
7.1502e+05,0,3270.7,3257.6,1738.7,0.50571,4.2838,0.61384,14728,9
7.1505e+05,0,3094.4,3089.3,1680.9,0.48143,4.0781,0.61384,14238,10
7.1508e+05,0,2703.4,2697.3,1533.3,0.54571,4.6227,0.61384,12988,11
7.1512e+05,0,2031.3,2011.1,1413.4,0.70571,5.978,0.61384,11973,12
7.1515e+05,0,4365.1,4351.7,2163.6,0.53286,4.3888,0.63019,17820,1
7.1518e+05,0,3791.9,3789.7,1978.4,0.53,4.3653,0.63019,16295,2
7.1520e+05,0,3368.7,3368.7,2241.3,0.62571,5.1536,0.63019,18460,3
7.1524e+05,0,2924.7,2921.1,1648,0.53714,4.4241,0.63019,13574,4
7.1527e+05,0,3148.7,3428.9,1674.4,0.46,3.7887,0.63019,13791,5
7.153e+05,0,4781.3,4779,1898.4,0.46714,3.8476,0.63019,15636,6
7.1533e+05,0,3323.3,3310.4,1730,0.52429,4.3182,0.63019,14249,7
7.1536e+05,0,3562.3,3556.3,2046.6,0.57714,4.7536,0.63019,16856,8
7.1539e+05,0,3203.3,3187.7,1797.9,0.52429,4.3182,0.63019,14808,9
7.1542e+05,0,3016.1,2999.7,1742.3,0.52286,4.3064,0.63019,14350,10
7.1545e+05,0,4090.4,4069,2043.9,0.48571,4.0005,0.63019,16834,11
7.1548e+05,0,5731.3,5708.1,3136.9,0.50857,4.1888,0.63019,25836,12
7.1551e+05,0,2098.4,2096.6,1538.7,0.67571,5.5272,0.64455,12586,1
7.1554e+05,0,2916.7,2910.7,1904.7,0.61857,5.0598,0.64455,15580,2
7.1557e+05,0,2323.1,2320.3,1513.4,0.63857,5.2234,0.64455,12379,3
7.156e+05,0,3445.4,3440.3,2116.1,0.60571,4.9546,0.64455,17310,4
7.1563e+05,0,4028.9,4018.4,2239.4,0.6,4.9079,0.64455,18318,5
7.1566e+05,0,4252.1,4246.1,2090.9,0.53143,4.347,0.64455,17103,6
7.1569e+05,0,3748.6,3744.6,2231.1,0.59429,4.8611,0.64455,18250,7
7.1572e+05,0,3101.3,3094.3,1915.6,0.59714,4.8845,0.64455,15669,8
7.1575e+05,0,1787.9,1776.3,1195.3,0.63,5.1532,0.64455,9777.1,9
7.1578e+05,0,2513,2481.6,1552.3,0.52429,4.2885,0.64455,12697,10
7.1582e+05,0,2298.4,2287,1415.6,0.56286,4.604,0.64455,11579,11
7.1584e+05,0,2025,1990.4,1386.1,0.70429,5.7609,0.64455,11338,12
7.1588e+05,0,3056.1,3048.9,1698.6,0.57,4.5837,0.65474,13659,1
7.1591e+05,0,2563.9,2552.7,1453.1,0.59,4.7445,0.65474,11686,2
7.1594e+05,0,2962.1,2947.7,1873.7,0.60143,4.8364,0.65474,15068,3
7.1597e+05,0,2278.3,2274.6,1529.9,0.65571,5.273,0.65474,12302,4
7.16e+05,0,2274.1,2270.1,1487,0.60857,4.8939,0.65474,11958,5
7.1603e+05,0,3688,3680.3,1818.6,0.55143,4.4344,0.65474,14624,6
7.1606e+05,0,2162.9,2154.4,1367.1,0.59143,4.756,0.65474,10994,7
7.1609e+05,0,2062.1,2053,1356.6,0.61,4.9054,0.65474,10909,8
7.1612e+05,0,2051.1,2049.4,1229.9,0.58,4.6641,0.65474,9890,9
7.1615e+05,0,2179.7,2170.1,1257.1,0.56857,4.5722,0.65474,10109,10
7.1618e+05,0,2343.4,2342.1,1172,0.49857,4.0093,0.65474,9424.7,11
7.1621e+05,0,3442.1,3434.4,2278.6,0.62429,5.0202,0.65474,18323,12
7.1624e+05,0,1362.3,1353.1,927,0.62857,5.004,0.67337,7379.8,1
7.1627e+05,0,2296.3,2291.7,1352,0.64429,5.1291,0.67337,10763,2
7.163e+05,0,2000.7,1987.1,1286.7,0.60571,4.822,0.67337,10243,3
7.1633e+05,0,1893.9,1888.1,1244.3,0.60143,4.7879,0.67337,9905.6,4
7.1636e+05,0,2492.4,2483.9,1398.6,0.57286,4.5605,0.67337,11134,5
7.1639e+05,0,3286.6,3275.1,1418.6,0.51143,4.0714,0.67337,11293,6
7.1642e+05,0,2575.1,2556.3,1433.7,0.52143,4.151,0.67337,11414,7
7.1645e+05,0,2257.9,2251.7,1411.6,0.53429,4.2534,0.67337,11237,8
7.1648e+05,0,3282.1,3236.4,1769.6,0.53286,4.242,0.67337,14087,9
7.1652e+05,0,2946.9,2911.6,1670.1,0.52571,4.1852,0.67337,13296,10
7.1655e+05,0,1850,1825.3,1061,0.55857,4.4467,0.67337,8446.5,11
7.1658e+05,0,4318,4267.6,2502.4,0.59286,4.7197,0.67337,19922,12
7.1661e+05,0,2699.6,2653.9,1595,0.61429,4.8417,0.69601,12572,1
7.1664e+05,0,3463.9,3420.7,1815.4,0.57286,4.5152,0.69601,14309,2
7.1667e+05,0,3345.7,3328.4,2158.3,0.64286,5.0669,0.69601,17011,3
7.167e+05,0,3196.1,3175.4,1943.3,0.57143,4.5039,0.69601,15317,4
7.1673e+05,0,2595.6,2584,1680.6,0.60143,4.7404,0.69601,13246,5
7.1676e+05,0,4066,4040,1854.7,0.56571,4.4589,0.69601,14619,6
7.1679e+05,0,2072.7,2048.3,1205.7,0.59429,4.6841,0.69601,9503.2,7
7.1682e+05,0,3587.1,3565.7,1891.3,0.44571,3.513,0.69601,14907,8
7.1685e+05,0,3461.6,3427.6,2214.9,0.55857,4.4026,0.69601,17457,9
7.1688e+05,0,3396.1,3317.4,1961.6,0.57143,4.5039,0.69601,15461,10
7.1691e+05,0,3271.3,3238.9,1897.1,0.55143,4.3463,0.69601,14953,11
7.1694e+05,0,4887.6,4765.4,2866.4,0.53714,4.2337,0.69601,22593,12
7.1697e+05,0,3075,2992.7,1781.7,0.60571,4.7117,0.71138,13860,1
7.17e+05,0,3363.6,3300.9,2019,0.57,4.4339,0.71138,15705,2
7.1703e+05,0,3610.1,3502.6,2048.3,0.54,4.2005,0.71138,15933,3
7.1706e+05,0,3497,3448.1,2041.4,0.59714,4.645,0.71138,15880,4
7.1709e+05,0,3817.1,3763.1,2058.6,0.57286,4.4561,0.71138,16013,5
7.1712e+05,0,3453.6,3415.6,1734.9,0.57,4.4339,0.71138,13495,6
7.1715e+05,0,3556,3515.9,1818.9,0.57857,4.5006,0.71138,14149,7
7.1718e+05,0,3325.4,3285,1998.7,0.56286,4.3783,0.71138,15548,8
7.1722e+05,0,3191.6,3150,1808.7,0.51857,4.0339,0.71138,14070,9
7.1724e+05,0,2837.6,2783.1,1662,0.54,4.2005,0.71138,12928,10
7.1728e+05,0,3910.3,3845.7,2122.1,0.52714,4.1005,0.71138,16508,11
7.1731e+05,0,6005.4,5820.4,3324.6,0.51571,4.0116,0.71138,25861,12
7.1734e+05,0,2515.1,2484.1,1576,0.57857,4.4425,0.72246,12101,1
7.1737e+05,0,2485.4,2436.9,1552.6,0.62714,4.8155,0.72246,11921,2
7.174e+05,0,2993.3,2902,1770.9,0.61286,4.7058,0.72246,13597,3
7.1743e+05,0,2968.1,2925.7,1779.1,0.59286,4.5522,0.72246,13661,4
7.1746e+05,0,3025.4,2986.7,1573.3,0.54714,4.2012,0.72246,12080,5
7.1749e+05,0,5287.1,5265.7,2160,0.48286,3.7076,0.72246,16585,6
7.1752e+05,0,3827.3,3753.4,2236.6,0.66429,5.1007,0.72246,17173,7
7.1755e+05,0,4289.9,4218.7,2331.4,0.55,4.2231,0.72246,17902,8
7.1758e+05,0,3827.6,3763.9,2208,0.53857,4.1354,0.72246,16954,9
7.1761e+05,0,3585.1,3507.7,2106.9,0.53,4.0696,0.72246,16177,10
7.1764e+05,0,3311.1,3253.4,1989.6,0.58857,4.5193,0.72246,15277,11
7.1767e+05,0,5223.9,5059,3041.1,0.54571,4.1902,0.72246,23351,12
7.177e+05,0,2659.9,2617.7,1511.4,0.56857,4.2964,0.73904,11421,1
7.1773e+05,0,3478.9,3440,2259.4,0.58714,4.4368,0.73904,17073,2
7.1776e+05,0,4593.6,4521.4,2872.6,0.56857,4.2964,0.73904,21707,3
7.1779e+05,0,3390.7,3334,2177.9,0.57,4.3072,0.73904,16457,4
7.1782e+05,0,2700.1,2625.6,1289.7,0.55571,4.1993,0.73904,9745.8,5
7.1785e+05,0,2252,2232.9,1222.7,0.58429,4.4152,0.73904,9239.5,6
7.1788e+05,0,2677.6,2651.7,1738.7,0.61429,4.6419,0.73904,13139,7
7.1792e+05,0,2625.7,2580.4,1631.1,0.57714,4.3612,0.73904,12326,8
7.1795e+05,0,2784,2709.3,1774.1,0.54857,4.1453,0.73904,13406,9
7.1798e+05,0,2648.3,2566.9,1769.3,0.57,4.3072,0.73904,13370,10
7.1801e+05,0,1494.3,1444.7,1066.7,0.55286,4.1777,0.73904,8060.7,11
7.1804e+05,0,3334.9,3182.9,2364.7,0.68857,5.2032,0.73904,17869,12
7.1807e+05,0,2289,2190.1,1427.6,0.60143,4.4185,0.76086,10488,1
7.181e+05,0,2288.6,2198.1,1609.4,0.62571,4.5969,0.76086,11824,2
7.1813e+05,0,2756.3,2655.9,1968,0.63571,4.6704,0.76086,14458,3
7.1816e+05,0,2719.1,2681.9,1953,0.62857,4.6179,0.76086,14348,4
7.1819e+05,0,3569,3525.4,2130.7,0.54857,4.0302,0.76086,15654,5
7.1822e+05,0,2994.4,2967,1430.7,0.53143,3.9042,0.76086,10511,6
7.1825e+05,0,3394.9,3346,1728.7,0.55143,4.0511,0.76086,12700,7
7.1828e+05,0,2550.9,2488.6,1769.4,0.61429,4.5129,0.76086,12999,8
7.1831e+05,0,4554,4437,2550,0.47857,3.5159,0.76086,18734,9
7.1834e+05,0,4456.7,4310.1,2471.1,0.51714,3.7993,0.76086,18155,10
7.1837e+05,0,3727.4,3651.1,2167.6,0.54,3.9672,0.76086,15924,11
7.184e+05,0,4902.4,4764,3220.7,0.65429,4.8068,0.76086,23661,12
7.1843e+05,0,4829.1,4639.9,2677.4,0.56286,4.0113,0.78242,19081,1
7.1846e+05,0,4300.1,4186.1,2530.4,0.57714,4.1131,0.78242,18034,2
7.1849e+05,0,3096.6,2994.9,2144.3,0.66143,4.7138,0.78242,15282,3
7.1852e+05,0,2563.6,2443.9,1729.9,0.67143,4.7851,0.78242,12328,4
7.1855e+05,0,2775.3,2684,1722.6,0.64143,4.5713,0.78242,12276,5
7.1858e+05,0,3470.6,3429.1,1928.7,0.58571,4.1742,0.78242,13745,6
7.1861e+05,0,1626,1590.4,1101.1,0.63429,4.5203,0.78242,7847.5,7
7.1864e+05,0,2387.7,2456.3,1687.6,0.69143,4.9276,0.78242,12027,8
7.1868e+05,0,3337.9,3300.3,2059,0.56571,4.0317,0.78242,14674,9
7.1871e+05,0,2784.6,2729.1,1730,0.57714,4.1131,0.78242,12329,10
7.1874e+05,0,2256.7,2209.9,1512.4,0.64571,4.6018,0.78242,10779,11
7.1877e+05,0,4978.6,4686.9,3800,0.67714,4.8258,0.78242,27081,12
7.188e+05,0,4267.7,4138.6,2959.4,0.60571,4.1431,0.80246,20242,1
7.1883e+05,0,4837.9,4678.3,3173.1,0.59429,4.0649,0.80246,21704,2
7.1886e+05,0,2688.1,2626.1,2155.7,0.73571,5.0323,0.80246,14745,3
7.1889e+05,0,2532.4,2471.1,2052.1,0.76429,5.2277,0.80246,14037,4
7.1892e+05,0,2727.6,2664,1669,0.62714,4.2896,0.80246,11416,5
7.1895e+05,0,1572.6,1542.7,1001.6,0.66857,4.573,0.80246,6850.7,6
7.1898e+05,0,1968.4,1948.6,1542.3,0.71429,4.8857,0.80246,10549,7
7.1901e+05,0,2131.1,2093.3,1752.4,0.66857,4.573,0.80246,11987,8
7.1904e+05,0,2140.3,2059.3,1598.7,0.63429,4.3385,0.80246,10935,9
7.1907e+05,0,3487.4,3383.9,2316.7,0.63714,4.358,0.80246,15846,10
7.191e+05,0,3551.3,3451.7,2322.7,0.65,4.446,0.80246,15887,11
7.1913e+05,0,5154.7,4905.7,4042.3,0.76143,5.2081,0.80246,27649,12
7.1916e+05,0,3015.1,2898.9,2436.3,0.77,4.9941,0.82648,15801,1
7.192e+05,0,1639,1616.3,1446,0.75286,4.8829,0.82648,9378.6,2
7.1922e+05,0,2976.6,2844.7,2715.9,0.86857,5.6334,0.82648,17615,3
7.1925e+05,0,1712,1685,1733.3,1.0471,6.7916,0.82648,11242,4
7.1928e+05,0,2653.3,2625.7,2183.9,0.74571,4.8366,0.82648,14164,5
7.1932e+05,0,3401,3332,1794.3,0.73,4.7347,0.82648,11637,6
7.1934e+05,0,2242.7,2210.3,1929.4,0.82,5.3184,0.82648,12514,7
7.1938e+05,0,2412.7,2357.9,2059.6,0.77571,5.0312,0.82648,13358,8
7.1941e+05,0,2445.7,2367.3,1984,0.82857,5.374,0.82648,12868,9
7.1944e+05,0,3766.6,3691.7,3127.1,0.78,5.059,0.82648,20282,10
7.1947e+05,0,3340.9,3232,2287.1,0.73143,4.7439,0.82648,14834,11
7.195e+05,0,4597.1,4374.6,3737.1,0.95571,6.1986,0.82648,24239,12
7.1953e+05,0,2534.3,2448,2475.7,0.90429,5.5476,0.85136,15188,1
7.1956e+05,0,3141.1,3048.6,2239,0.75714,4.6449,0.85136,13736,2
7.1959e+05,0,3069.6,3017.1,2679.4,0.86429,5.3022,0.85136,16438,3
7.1962e+05,0,1612,1593.4,1531.1,0.95857,5.8807,0.85136,9393.3,4
7.1965e+05,0,1640.9,1609.3,1479.6,0.99857,6.1261,0.85136,9076.9,5
7.1968e+05,0,1496.4,1462.6,1222.1,1.0243,6.2838,0.85136,7497.6,6
7.1971e+05,0,2655,2621.6,2234.1,0.90857,5.5739,0.85136,13706,7
7.1974e+05,0,2723.4,2661.3,2359.6,0.88143,5.4074,0.85136,14476,8
7.1977e+05,0,2640,2580,2359.1,0.88571,5.4337,0.85136,14473,9
7.198e+05,0,2416.6,2348.3,2249.6,0.85143,5.2234,0.85136,13801,10
7.1983e+05,0,3245.1,3154.3,2710,0.84429,5.1795,0.85136,16625,11
7.1986e+05,0,1466.3,1359.4,1574.6,1.0986,6.7395,0.85136,9659.7,12
7.1989e+05,0,2689.9,2583.7,2559.7,0.92714,5.4491,0.88719,15044,1
7.1992e+05,0,3368.9,3238.1,2874.9,0.80714,4.7438,0.88719,16896,2
7.1995e+05,0,2020.6,1979.4,2457.7,1.1871,6.9772,0.88719,14445,3
7.1998e+05,0,2830.6,2764.3,2753,1.0514,6.1796,0.88719,16180,4
7.2001e+05,0,3307.9,3222.9,2287.6,0.84429,4.9621,0.88719,13445,5
7.2004e+05,0,2339,2300.6,1961,0.97714,5.743,0.88719,11525,6
7.2008e+05,0,2740,2698,2260.9,0.80429,4.727,0.88719,13288,7
7.2011e+05,0,3348.7,3294.4,3063.9,0.91286,5.3651,0.88719,18007,8
7.2014e+05,0,3778.9,3685.1,3128.1,0.80571,4.7354,0.88719,18385,9
7.2017e+05,0,2960,2903.4,2814.1,0.88571,5.2056,0.88719,16540,10
7.202e+05,0,2908.1,2845,2727.1,0.95143,5.5918,0.88719,16028,11
7.2023e+05,0,4137.7,3957.3,4576,1.1214,6.591,0.88719,26895,12
7.2026e+05,0,3338.1,3252.4,3316.3,0.96429,5.4911,0.93512,18885,1
7.2029e+05,0,3268.3,3094,3666.1,1.1,6.264,0.93512,20877,2
7.2032e+05,0,7136,6933.9,6920.9,0.99,5.6376,0.93512,39411,3
7.2035e+05,0,2535.6,2433.4,2805.6,1.1514,6.5568,0.93512,15976,4
7.2038e+05,0,3705.1,3630.9,3523,0.92429,5.2634,0.93512,20062,5
7.2041e+05,0,4022.6,3971.3,3231.9,0.92571,5.2715,0.93512,18404,6
7.2044e+05,0,2624.9,2589.7,2839.7,1.0657,6.0687,0.93512,16171,7
7.2047e+05,0,2525.1,2471.9,2605.7,1.1514,6.5568,0.93512,14838,8
7.205e+05,0,3413,3311.3,3372,1.0343,5.8898,0.93512,19202,9
7.2053e+05,0,3056.9,2978.1,3074.3,0.95857,5.4586,0.93512,17507,10
7.2056e+05,0,1818.6,1750.1,2264.7,1.2729,7.2483,0.93512,12896,11
7.2059e+05,0,4669.6,4421.9,4949.1,1.0443,5.9467,0.93512,28183,12
7.2062e+05,0,3389.7,3290.4,3477.4,1.0471,5.6138,0.98018,18643,1
7.2066e+05,0,2982.7,2900,3308.3,1.1729,6.2878,0.98018,17736,2
7.2068e+05,0,2442.4,2417.1,3489.9,1.5314,8.2101,0.98018,18709,3
7.2072e+05,0,2231,2147.1,2584.7,1.1871,6.3643,0.98018,13857,4
7.2074e+05,0,4070.1,4000.4,3721.7,1.0257,5.4989,0.98018,19952,5
7.2078e+05,0,3420.3,3354.3,2762.1,0.96,5.1466,0.98018,14808,6
7.2081e+05,0,3449.3,3370.9,3161.4,1.0071,5.3994,0.98018,16949,7
7.2084e+05,0,3571.1,3457.3,3386.3,1.0386,5.5678,0.98018,18154,8
7.2087e+05,0,5245.3,5079.7,4646.9,1.0329,5.5372,0.98018,24912,9
7.209e+05,0,4056.3,3935.7,3839.6,1.0857,5.8206,0.98018,20584,10
7.2093e+05,0,3940.1,3758.9,3608.6,0.99143,5.3151,0.98018,19346,11
7.2096e+05,0,7755.4,7226.4,8086.3,1.06,5.6827,0.98018,43351,12
7.2099e+05,0,2958.9,2842,3313.7,1.1771,5.6835,1.0207,15999,1
7.2102e+05,0,3038.3,2901.3,3264.4,1.0614,5.1248,1.0207,15761,2
7.2105e+05,0,3962.7,3800.4,4549.3,1.1443,5.5249,1.0207,21965,3
7.2108e+05,0,2883.3,2757.6,3210,1.1429,5.518,1.0207,15499,4
