"","tag_id","tagging_date","V3","n_detections","percent_of_detections","V6","V7","V8","V9","receivers_detected","V11","V12","brfa_crossings","time_tracked_in","time_tracked_out","V16","homerange_polygon","homerange_linear"
"37971","37970","2012-04-13 14:09:00","3.12","6","2.840115687379e-05","1.92307692307692","1","1","0.32051282051282","1","1","0.32051282051282","0","0","3.12","0","0","1.25186321220833"
"37970","37971","2012-04-13 15:21:00","0.07","61","0.000288745094883532","871.428571428571","1","1","14.2857142857143","1","1","14.2857142857143","0","0","0.07","0","0","1.08262828763087"
"37972","37972","2012-04-13 16:33:00","314.48","778","0.00368268334130144","2.47392520987026","88","59","0.18761129483592","2","9","0.0286186720936149","8","151.63","162.86","0.0254388196387688","5.62826765615082","0"
"37973","37973","2012-07-20 12:43:00","4.38","10","4.73352614563167e-05","2.28310502283105","4","13","2.96803652968037","3","3","0.684931506849315","2","0.2","4.18","0.45662100456621","0","8.63483696026872"
"37974","37974","2012-07-20 13:40:00","1.84","12","5.680231374758e-05","6.52173913043478","2","9","4.89130434782609","2","2","1.08695652173913","1","0.59","1.25","0.543478260869565","0","7.07899249383789"
"14412","37975","2012-07-20 16:04:00","180.67","1","4.73352614563167e-06","0.00553495322964521","1","3","0.0166048596889356","1","1","0.00553495322964521","0","0","180.67","0","0","3.32298637552695"
"57463","14412","2012-08-18 17:31:00","14.41","3","1.4200578436895e-05","0.208188757807078","1","5","0.346981263011797","1","1","0.0693962526023595","1","14.41","0","0.0693962526023595","0","4.52883946018667"
"37980","57445","2012-09-30 16:19:00","463.21","7","3.31346830194217e-05","0.0151119362708059","2","297","0.641177867489907","2","21","0.0453358088124177","20","320.53","142.69","0.0431769607737311","0","22.8766736269734"
"37960","57455","2012-11-01 22:19:00","475.22","5504","0.0260533279055567","11.5820041244055","172","1","0.00210428854004461","2","3","0.00631286562013383","0","475.22","0","0","0","0.9688928051998"
"37961","57457","2012-11-01 22:33:00","479.46","236","0.00111711217036907","0.492220414633129","3","1","0.00208567972302173","1","1","0.00208567972302173","0","479.46","0","0","0","0.9688928051998"
"57445","57458","2012-11-01 22:48:00","423.25","1085","0.00513587586801036","2.563496751329","78","1","0.00236266981689309","3","1","0.00236266981689309","0","423.25","0","0","0","0.9688928051998"
